r,z,concentration
0.023648858,0.010828032,0.448100368
0.025,0.01,0.423894647
0.018252668,0.017242654,0.580325141
0.017466592,0.01862848,0.606357032
0.016666667,0.02,0.635368699
0.01902618,0.015853356,0.556761614
0.019734406,0.014628159,0.536948102
0.021017012,0.014113545,0.504161341
0.022320674,0.013312206,0.474741327
0.023655006,0.012492017,0.447986671
0.025,0.011666667,0.423896525
0.019845908,0.017261214,0.533868106
0.01909975,0.018629689,0.554626884
0.018333333,0.02,0.577735986
0.020795708,0.015837342,0.509376766
0.022321243,0.014987026,0.474704247
0.023655578,0.01415999,0.447977198
0.025,0.013333333,0.423897499
0.021198887,0.017374843,0.499905297
0.020706029,0.018627542,0.511654493
0.02,0.02,0.529677083
0.022426319,0.016643254,0.472489341
0.023690877,0.015820627,0.447318756
0.025,0.015,0.423903749
0.022430695,0.018486608,0.472353353
0.021666667,0.02,0.48899533
0.023742122,0.017466827,0.446357711
0.025,0.016666667,0.423918349
0.023904842,0.018850472,0.443365552
0.023333333,0.02,0.454120121
0.025,0.018333333,0.42395446
0.025,0.02,0.423850506
