r,z,concentration
0.016635177,0.01726299,9.7e-06
0.015811954,0.018635545,1.09e-05
0.015,0.02,1.22e-05
0.017482525,0.015827169,8.52e-06
0.018301758,0.014286804,7.43e-06
0.019630686,0.013255155,5.76e-06
0.020970141,0.012468828,4.19e-06
0.022305062,0.011651831,2.72e-06
0.023648858,0.010828032,1.32e-06
0.025,0.01,0.0
0.018252668,0.017242654,7.49e-06
0.017466592,0.01862848,8.54e-06
0.016666667,0.02,9.66e-06
0.01902618,0.015853356,6.5e-06
0.019734406,0.014628159,5.63e-06
0.021017012,0.014113545,4.13e-06
0.022320674,0.013312206,2.7e-06
0.023655006,0.012492017,1.32e-06
0.025,0.011666667,0.0
0.019845908,0.017261214,5.5e-06
0.01909975,0.018629689,6.41e-06
0.018333333,0.02,7.39e-06
0.020795708,0.015837342,4.38e-06
0.022321243,0.014987026,2.7e-06
0.023655578,0.01415999,1.32e-06
0.025,0.013333333,0.0
0.021198887,0.017374843,3.93e-06
0.020706029,0.018627542,4.49e-06
0.02,0.02,5.31e-06
0.022426319,0.016643254,2.59e-06
0.023690877,0.015820627,1.28e-06
0.025,0.015,0.0
0.022430695,0.018486608,2.58e-06
0.021666667,0.02,3.41e-06
0.023742122,0.017466827,1.23e-06
0.025,0.016666667,0.0
0.023904842,0.018850472,1.07e-06
0.023333333,0.02,1.64e-06
0.025,0.018333333,0.0
0.025,0.02,0.0
