% Model,electrode_in_salt.mph,
% Version,COMSOL 6.4.0.293,
% Date,"Dec 16 2025, 13:29",
% Dimension,2,
% Nodes,505,
% Expressions,1,
% Description,"Electrolyte current density vector, r-component",
% Length unit,m,
% r,z,tcd.Ilr (A/m^2)
0.001248206,0.009141519,NaN
2.45E-18,0.01,NaN
2.04E-18,0.008333333,NaN
2.04E-18,0.008333333,NaN
0.001243169,0.007472633,NaN
0.001248206,0.009141519,NaN
0.002507265,0.006615108,NaN
0.001243169,0.007472633,NaN
0.001241537,0.005805512,NaN
0.001241537,0.005805512,NaN
0.002485598,0.004897989,NaN
0.002507265,0.006615108,NaN
0.003894726,0.001143431,NaN
0.003759887,0.00252959,NaN
0.002509506,0.001404123,NaN
0.003759887,0.00252959,NaN
0.002473846,0.003198722,NaN
0.002509506,0.001404123,NaN
0.003894726,0.001143431,NaN
0.005,-1.22E-18,NaN
0.005,0.001666667,NaN
0.003894726,0.001143431,NaN
0.005,0.001666667,NaN
0.003759887,0.00252959,NaN
0.002473846,0.003198722,NaN
0.003759887,0.00252959,NaN
0.003748203,0.004126182,NaN
0.003748203,0.004126182,NaN
0.002485598,0.004897989,NaN
0.002473846,0.003198722,NaN
0.002485598,0.004897989,NaN
0.003748203,0.004126182,NaN
0.003758424,0.005794829,NaN
0.003758424,0.005794829,NaN
0.002507265,0.006615108,NaN
0.002485598,0.004897989,NaN
0.001251264,0.010817355,NaN
2.86E-18,0.011666667,NaN
2.45E-18,0.01,NaN
2.45E-18,0.01,NaN
0.001248206,0.009141519,NaN
0.001251264,0.010817355,NaN
0.001251023,0.012494331,NaN
3.27E-18,0.013333333,NaN
2.86E-18,0.011666667,NaN
2.86E-18,0.011666667,NaN
0.001251264,0.010817355,NaN
0.001251023,0.012494331,NaN
0.002489106,0.00829802,NaN
0.001248206,0.009141519,NaN
0.001243169,0.007472633,NaN
0.001243169,0.007472633,NaN
0.002507265,0.006615108,NaN
0.002489106,0.00829802,NaN
0.002500277,0.009972694,NaN
0.001251264,0.010817355,NaN
0.001248206,0.009141519,NaN
0.001248206,0.009141519,NaN
0.002489106,0.00829802,NaN
0.002500277,0.009972694,NaN
0.002507265,0.006615108,NaN
0.003758424,0.005794829,NaN
0.003750125,0.007475631,NaN
0.003750125,0.007475631,NaN
0.002489106,0.00829802,NaN
0.002507265,0.006615108,NaN
0.003759887,0.00252959,NaN
0.005,0.001666667,NaN
0.005,0.003333333,NaN
0.005,0.003333333,NaN
0.003748203,0.004126182,NaN
0.003759887,0.00252959,NaN
0.003748203,0.004126182,NaN
0.005,0.003333333,NaN
0.005,0.005,NaN
0.005,0.005,NaN
0.003758424,0.005794829,NaN
0.003748203,0.004126182,NaN
0.003758424,0.005794829,NaN
0.005,0.005,NaN
0.005,0.006666667,NaN
0.005,0.006666667,NaN
0.003750125,0.007475631,NaN
0.003758424,0.005794829,NaN
0.001248962,0.014170864,NaN
3.67E-18,0.015,NaN
3.27E-18,0.013333333,NaN
3.27E-18,0.013333333,NaN
0.001251023,0.012494331,NaN
0.001248962,0.014170864,NaN
0.001241356,0.015850541,NaN
4.08E-18,0.016666667,NaN
3.67E-18,0.015,NaN
3.67E-18,0.015,NaN
0.001248962,0.014170864,NaN
0.001241356,0.015850541,NaN
0.002502358,0.011652294,NaN
0.001251023,0.012494331,NaN
0.001251264,0.010817355,NaN
0.001251264,0.010817355,NaN
0.002500277,0.009972694,NaN
0.002502358,0.011652294,NaN
0.002501192,0.013332421,NaN
0.001248962,0.014170864,NaN
0.001251023,0.012494331,NaN
0.001251023,0.012494331,NaN
0.002502358,0.011652294,NaN
0.002501192,0.013332421,NaN
0.002489106,0.00829802,NaN
0.003750125,0.007475631,NaN
0.003748678,0.009148113,NaN
0.003748678,0.009148113,NaN
0.002500277,0.009972694,NaN
0.002489106,0.00829802,NaN
0.002500277,0.009972694,NaN
0.003748678,0.009148113,NaN
0.003752139,0.0108192,NaN
0.003752139,0.0108192,NaN
0.002502358,0.011652294,NaN
0.002500277,0.009972694,NaN
0.003750125,0.007475631,NaN
0.005,0.006666667,NaN
0.005,0.008333333,NaN
0.005,0.008333333,NaN
0.003748678,0.009148113,NaN
0.003750125,0.007475631,NaN
0.002498049,0.01501851,NaN
0.001241356,0.015850541,NaN
0.001248962,0.014170864,NaN
0.001248962,0.014170864,NaN
0.002501192,0.013332421,NaN
0.002498049,0.01501851,NaN
0.001211331,0.017505329,NaN
4.49E-18,0.018333333,NaN
4.08E-18,0.016666667,NaN
4.08E-18,0.016666667,NaN
0.001241356,0.015850541,NaN
0.001211331,0.017505329,NaN
0.001075689,0.018882152,NaN
4.49E-18,0.018333333,NaN
0.001211331,0.017505329,NaN
0.001075689,0.018882152,NaN
4.90E-18,0.02,NaN
4.49E-18,0.018333333,NaN
0.002487755,0.016744946,NaN
0.001211331,0.017505329,NaN
0.001241356,0.015850541,NaN
0.001241356,0.015850541,NaN
0.002498049,0.01501851,NaN
0.002487755,0.016744946,NaN
0.002502358,0.011652294,NaN
0.003752139,0.0108192,NaN
0.0037531,0.012492556,NaN
0.0037531,0.012492556,NaN
0.002501192,0.013332421,NaN
0.002502358,0.011652294,NaN
0.002501192,0.013332421,NaN
0.0037531,0.012492556,NaN
0.003752839,0.014168274,NaN
0.003752839,0.014168274,NaN
0.002498049,0.01501851,NaN
0.002501192,0.013332421,NaN
0.003748678,0.009148113,NaN
0.005,0.008333333,NaN
0.005,0.01,NaN
0.005,0.01,NaN
0.003752139,0.0108192,NaN
0.003748678,0.009148113,NaN
0.003752139,0.0108192,NaN
0.005,0.01,NaN
0.005,0.011666667,NaN
0.005,0.011666667,NaN
0.0037531,0.012492556,NaN
0.003752139,0.0108192,NaN
0.002498049,0.01501851,NaN
0.003752839,0.014168274,NaN
0.003755409,0.015845485,NaN
0.003755409,0.015845485,NaN
0.002487755,0.016744946,NaN
0.002498049,0.01501851,NaN
0.001075689,0.018882152,NaN
0.001211331,0.017505329,NaN
0.002500447,0.018572097,NaN
0.001211331,0.017505329,NaN
0.002487755,0.016744946,NaN
0.002500447,0.018572097,NaN
0.001075689,0.018882152,NaN
0.001666667,0.02,NaN
4.90E-18,0.02,NaN
0.001075689,0.018882152,NaN
0.002500447,0.018572097,NaN
0.001666667,0.02,NaN
0.002487755,0.016744946,NaN
0.003755409,0.015845485,NaN
0.003777649,0.01750752,NaN
0.003777649,0.01750752,NaN
0.002500447,0.018572097,NaN
0.002487755,0.016744946,NaN
0.0037531,0.012492556,NaN
0.005,0.011666667,NaN
0.005,0.013333333,NaN
0.005,0.013333333,NaN
0.003752839,0.014168274,NaN
0.0037531,0.012492556,NaN
0.003752839,0.014168274,NaN
0.005,0.013333333,NaN
0.005,0.015,NaN
0.005,0.015,NaN
0.003755409,0.015845485,NaN
0.003752839,0.014168274,NaN
0.003755409,0.015845485,NaN
0.005,0.015,NaN
0.005,0.016666667,NaN
0.005,0.016666667,NaN
0.003777649,0.01750752,NaN
0.003755409,0.015845485,NaN
0.003922286,0.01888259,NaN
0.002500447,0.018572097,NaN
0.003777649,0.01750752,NaN
0.002500447,0.018572097,NaN
0.003333333,0.02,NaN
0.001666667,0.02,NaN
0.003922286,0.01888259,NaN
0.003333333,0.02,NaN
0.002500447,0.018572097,NaN
0.003777649,0.01750752,NaN
0.005,0.016666667,NaN
0.005,0.018333333,NaN
0.003922286,0.01888259,NaN
0.003777649,0.01750752,NaN
0.005,0.018333333,NaN
0.003922286,0.01888259,NaN
0.005,0.018333333,NaN
0.005,0.02,NaN
0.003922286,0.01888259,NaN
0.005,0.02,NaN
0.003333333,0.02,NaN
0.006081432,0.001128116,1.734063005
0.005,0.001666667,2.105878339
0.005,-1.22E-18,2.096326869
0.006666667,-1.63E-18,1.577976172
0.006240339,0.002504357,1.686843294
0.005,0.003333333,2.10224892
0.008333333,-2.04E-18,1.26579695
0.007500154,0.001469558,1.404971581
0.006299371,0.004137356,1.670703513
0.005,0.005,2.101076918
0.009247126,0.001329351,1.141692711
0.01,-2.45E-18,1.056521071
0.007585177,0.003278444,1.390418243
0.008734781,0.002550589,1.210368421
0.006333417,0.005798302,1.661406495
0.005,0.006666667,2.100557264
0.006335456,0.007478169,1.660910814
0.005,0.008333333,2.100546726
0.010873623,0.001347901,0.972306286
0.011666667,-2.86E-18,0.906468147
0.006335782,0.009155173,1.660763587
0.005,0.01,2.100284277
0.007672706,0.00493889,1.374250166
0.010109494,0.002682104,1.045863419
0.009170872,0.004070665,1.150611929
0.007673071,0.006614564,1.37467811
0.007670466,0.008300973,1.375098921
0.011704839,0.002727953,0.903673972
0.012512663,0.001357892,0.845511659
0.013333333,-3.27E-18,0.793643156
0.01416604,0.001352508,0.747173442
0.015,-3.67E-18,0.70575502
0.006354156,0.010836119,1.655656565
0.005,0.011666667,2.099991053
0.00635545,0.012520773,1.654596583
0.005,0.013333333,2.099916291
0.007694859,0.009995373,1.370726339
0.008981275,0.00577102,1.176488085
0.010913139,0.004112139,0.968700521
0.01021359,0.005270885,1.0358824
0.009010287,0.007427977,1.172416124
0.009021593,0.009117594,1.170882093
0.012488635,0.004149219,0.847219472
0.013331477,0.00271899,0.793802096
0.015829813,0.00134167,0.668866967
0.016666667,-4.08E-18,0.635369006
0.014988472,0.002696054,0.706300588
0.017498098,0.001330821,0.605249449
0.018333333,-4.49E-18,0.577735483
0.006367063,0.014168614,1.651851912
0.005,0.015,2.100824571
0.006322457,0.015708041,1.665216992
0.005,0.016666667,2.098031823
0.007738843,0.011678727,1.362899908
0.007881822,0.013465333,1.337832241
0.009033986,0.010799112,1.169182392
0.010302009,0.006668353,1.026249989
0.01162919,0.005669103,0.909405971
0.01034734,0.008271927,1.021789015
0.010361168,0.00996279,1.020436456
0.01335288,0.005425535,0.792450936
0.014131985,0.004061102,0.748967426
0.0166596,0.002670638,0.635634017
0.015811648,0.004033679,0.669624903
0.019165488,0.00131772,0.552700744
0.02,-4.90E-18,0.529679468
0.018329202,0.002652068,0.577861452
0.020827081,0.001281174,0.508684837
0.021666667,-5.31E-18,0.489000567
0.006495464,0.017494239,1.616949838
0.005,0.018333333,2.101365603
0.006143248,0.01892337,1.716397758
0.005,0.02,2.095787111
0.007639583,0.014985581,1.381446001
0.007595349,0.016196653,1.390280113
0.009106135,0.012437794,1.16025075
0.008720768,0.014527497,1.213200744
0.009184378,0.013677403,1.151937655
0.010499615,0.011707307,1.006595656
0.011671828,0.007420298,0.906372312
0.012835938,0.006692094,0.824884704
0.011712111,0.009039373,0.903154885
0.011764554,0.010558703,0.899506602
0.014252445,0.006784874,0.742823803
0.015010368,0.005407193,0.705280164
0.016673003,0.005361258,0.635161945
0.017481493,0.003997711,0.605819974
0.020005308,0.002642282,0.529538782
0.019165223,0.003953238,0.552693358
0.021652559,0.00250118,0.489287732
0.022472465,0.001225863,0.471532148
0.023333333,-5.72E-18,0.454119435
0.023868012,0.001080568,0.444054832
0.025,-6.12E-18,0.423845744
0.008270984,0.017378502,1.274941798
0.007554107,0.018789277,1.39627844
0.006666667,0.02,1.577929652
0.008940438,0.01584129,1.180971246
0.010271887,0.013291305,1.03011987
0.00992943,0.014653942,1.065268763
0.011441779,0.012928186,0.925411361
0.012138656,0.011877007,0.871856675
0.012891362,0.011051753,0.821685327
0.013204377,0.008180937,0.801037838
0.013015538,0.009872513,0.813328598
0.015102163,0.008060043,0.70084048
0.015904181,0.006750636,0.665741491
0.017588531,0.006665887,0.602122415
0.01825201,0.005315834,0.580388936
0.019690821,0.005208199,0.538134485
0.020869726,0.004149271,0.50761395
0.022407141,0.003733985,0.472949505
0.023527843,0.00251249,0.450311991
0.025,0.001666667,0.423909897
0.009901222,0.017275216,1.06705025
0.009139326,0.01867434,1.155471261
0.008333333,0.02,1.265818802
0.010695222,0.015872903,0.988160825
0.011469986,0.014343201,0.92192894
0.012642616,0.01328337,0.837347433
0.013452255,0.012039262,0.787093431
0.014045457,0.010818487,0.754022768
0.01443168,0.009464144,0.733757157
0.01571537,0.009284491,0.674121287
0.016797224,0.008225548,0.630403935
0.018325178,0.007842478,0.578165242
0.019328391,0.006683122,0.547978999
0.020882475,0.00590324,0.507366412
0.022284556,0.005102772,0.475479659
0.02364488,0.004255095,0.448188784
0.025,0.003333333,0.423871633
0.01157326,0.017252572,0.913709329
0.010788103,0.018631691,0.9798638
0.01,0.02,1.056506214
0.012346742,0.015857878,0.856760466
0.013135697,0.014533856,0.805468816
0.014129331,0.013271306,0.749285777
0.014981206,0.01193284,0.706706997
0.0155007,0.010550409,0.683185469
0.016887669,0.009872606,0.627237213
0.018213887,0.0092094,0.581576427
0.019565037,0.008353246,0.541528069
0.02087034,0.007493571,0.507642192
0.022264055,0.00670017,0.475925312
0.02363816,0.005872563,0.448299034
0.025,0.005,0.423894386
0.013249733,0.017255364,0.798590799
0.012457369,0.018628446,0.849182431
0.011666667,0.02,0.906446353
0.014041896,0.015893789,0.753678335
0.014894337,0.014566025,0.710671154
0.015725734,0.013191546,0.673427313
0.01670903,0.011766425,0.633635006
0.018241779,0.0108513,0.580654797
0.019571807,0.010002052,0.541308794
0.020921673,0.009148552,0.506431354
0.022272064,0.008333634,0.475757579
0.023635469,0.007510673,0.448348431
0.025,0.006666667,0.423892806
0.014946048,0.017268324,0.708257106
0.014133082,0.018631172,0.74887817
0.013333333,0.02,0.793633878
0.015763911,0.01590405,0.671592712
0.016581508,0.0146044,0.638598724
0.017109882,0.013283348,0.619205655
0.018317168,0.012516259,0.578305426
0.019613074,0.011652245,0.540176078
0.020943563,0.010819853,0.505905463
0.022292189,0.00999003,0.475335517
0.023642577,0.009166301,0.448216126
0.025,0.008333333,0.423892767
0.016635177,0.01726299,0.636574373
0.015811954,0.018635545,0.669616399
0.015,0.02,0.705752025
0.017482525,0.015827169,0.605802239
0.018301758,0.014286804,0.578715589
0.019630686,0.013255155,0.539682892
0.020970141,0.012468828,0.505270216
0.022305062,0.011651831,0.475066413
0.023648858,0.010828032,0.448100368
0.025,0.01,0.423894647
0.018252668,0.017242654,0.580325081
0.017466592,0.01862848,0.606356941
0.016666667,0.02,0.635368572
0.01902618,0.015853356,0.556761563
0.019734406,0.014628159,0.536948092
0.021017012,0.014113545,0.50416134
0.022320674,0.013312206,0.474741327
0.023655006,0.012492017,0.447986671
0.025,0.011666667,0.423896525
0.019845908,0.017261214,0.533868073
0.01909975,0.018629689,0.55462683
0.018333333,0.02,0.57773591
0.020795708,0.015837342,0.509376734
0.022321243,0.014987026,0.474704246
0.023655578,0.01415999,0.447977198
0.025,0.013333333,0.423897499
0.021198887,0.017374843,0.49990529
0.020706029,0.018627542,0.51165446
0.02,0.02,0.529677036
0.022426319,0.016643254,0.472489338
0.023690877,0.015820627,0.447318756
0.025,0.015,0.423903749
0.022430695,0.018486608,0.472353333
0.021666667,0.02,0.488995296
0.023742122,0.017466827,0.44635771
0.025,0.016666667,0.423918349
0.023904842,0.018850472,0.443365548
0.023333333,0.02,0.454120102
0.025,0.018333333,0.423954459
0.025,0.02,0.423850489
